P_ROT17_sortmerna_2	112.0	85.5	47.0	35.0	35.5	45.0	72.5	83.5	97.0	123.5	150.0	209.5	273.5	366.5	496.5	609.0	853.0	1151.5	1478.5	1966.0	2695.5	3697.0	5083.5	7001.0	9901.0	14676.0	20867.5	29620.5	41500.5	57062.5	77042.5	104331.5	140390.0	188410.5	248565.5	324768.0	425928.5	549471.0	693350.0	853723.0	1021294.5	1183273.0	1323489.5	1418743.0	1473489.5	1478689.5	1442477.0	1378655.0	1254547.0	1093152.5	942919.5	794188.0	637425.5	498685.0	389352.5	300487.0	228285.0	172166.0	128792.0	95627.0	68314.5	48404.5	35403.5	25597.0	18216.0	14015.5	10481.0	6971.5	4994.5	3839.0	2665.5	1918.0	1386.0	1027.0	811.0	608.5	455.5	343.0	266.5	212.0	176.0	148.0	124.5	107.5	70.0	56.0	50.0	43.0	31.5	18.5	17.0	15.0	12.5	11.5	7.5	3.5	3.5	3.0	2.5	1.5	3.0
P_ROT17_sortmerna_trimmomatic_1	138.0	102.5	49.5	25.5	19.5	19.5	25.0	35.0	50.5	67.0	92.5	128.0	175.5	262.5	364.0	480.5	656.0	973.5	1514.5	2060.0	2749.0	3917.5	5579.0	8063.5	12378.5	18553.0	27751.0	42103.5	61556.5	87469.0	120825.0	159539.5	205809.0	263862.0	331208.5	406980.0	497358.5	597266.0	709524.0	835562.0	965851.5	1096621.0	1212090.0	1289801.5	1329997.5	1336538.5	1310846.5	1249800.5	1147115.0	1013013.0	870176.5	738101.5	613254.5	486276.5	373612.0	287113.5	219734.5	167638.0	124428.0	92486.5	68617.0	49366.5	35476.0	25452.5	19012.0	14828.5	10806.5	7122.5	5526.5	5062.5	3996.5	3056.0	2478.0	1873.0	1373.0	713.0	310.5	244.0	189.0	128.5	116.5	78.0	33.0	14.5	10.0	7.5	3.5	4.0	3.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ROT17_sortmerna_trimmomatic_2	90.0	57.5	17.5	12.0	18.0	27.0	39.0	53.5	70.0	85.5	114.0	152.0	194.0	254.0	341.0	443.0	677.5	955.0	1243.5	1732.0	2443.0	3344.0	4660.5	6558.5	9347.0	13892.0	19798.5	28219.5	39507.0	54278.0	73260.5	99316.0	133858.0	179718.5	237466.0	310951.5	408717.5	528124.5	667305.5	823152.5	985843.5	1142935.0	1279468.0	1372614.0	1426474.0	1431541.0	1396423.5	1334960.5	1214618.5	1058087.0	912769.0	769113.5	617142.5	482475.0	376653.0	290447.0	220425.5	166298.5	124477.0	92472.5	66005.0	46640.0	34051.5	24427.0	17201.0	13108.5	9610.0	6277.5	4383.0	3199.0	2117.0	1447.0	948.5	636.5	479.5	327.5	183.5	103.5	66.5	44.5	31.5	23.5	17.0	12.0	11.5	7.0	1.5	2.5	3.5	2.0	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ROT18_1	514.0	466.5	371.0	286.0	219.5	189.0	180.5	176.5	205.0	228.5	266.0	302.0	321.0	419.0	570.0	711.5	925.0	1310.0	1965.0	2590.5	3328.0	4606.5	6441.5	9449.5	14096.0	20481.0	30162.0	45411.5	65665.0	92206.5	126617.5	168132.5	218909.0	282290.0	355492.5	437388.5	534764.0	643523.5	767321.5	904993.5	1046386.5	1187259.0	1307194.0	1388991.5	1431127.0	1435658.0	1401366.0	1324974.5	1207433.0	1061530.5	907835.0	763206.0	628007.5	497836.5	384950.0	295662.5	226823.5	173610.0	131289.5	99689.5	74314.5	54359.0	39996.5	29295.0	22152.5	17673.0	13480.0	9227.5	6825.5	5823.0	4640.0	3724.0	3075.0	2364.0	1750.0	1018.0	480.5	255.5	196.0	137.5	110.0	88.0	66.5	54.0	46.5	44.0	36.0	32.0	22.0	8.5	7.5	6.0	3.0	3.0	4.5	5.0	4.5	9.0	31.0	31.5	7.0
P_ROT18_2	236.0	196.5	168.0	178.0	214.5	257.0	289.5	325.5	370.5	447.5	475.5	515.0	606.0	719.0	850.5	1013.5	1258.5	1553.0	1991.5	2576.5	3302.5	4355.5	5991.5	8296.5	11740.0	16848.5	23620.5	33060.0	45794.0	62691.5	84188.0	113824.5	152972.5	203437.5	267141.0	349582.0	457038.5	587265.5	738237.0	906217.5	1078262.5	1239513.5	1378709.0	1472933.0	1521832.5	1521287.0	1473014.5	1388864.5	1255244.0	1092839.5	935003.5	782068.0	629855.0	492822.0	384528.5	297686.0	227165.5	172250.5	129505.5	97116.5	70721.5	51066.5	38071.0	27973.5	20007.0	15338.0	11671.0	8129.0	5812.5	4502.0	3339.5	2441.5	1876.5	1455.5	1178.5	945.5	783.0	669.5	557.0	438.5	369.0	338.5	310.0	272.5	250.5	231.5	204.5	176.0	167.5	173.0	170.5	166.5	179.5	195.5	211.5	242.0	261.0	291.0	368.5	538.0	1739.5
P_ROT18_sortmerna_1	159.0	112.5	52.5	29.0	19.5	22.0	26.0	42.5	66.5	81.5	121.5	155.0	188.0	282.5	414.5	564.5	771.5	1134.0	1753.0	2359.0	3073.5	4304.0	6107.0	9057.0	13714.0	20118.5	29747.5	44942.0	65139.0	91545.5	125798.5	167265.0	217863.5	280804.5	353867.0	435779.0	532984.5	641559.5	765036.0	902225.5	1043056.0	1183490.5	1302895.0	1383870.0	1424821.0	1426957.0	1390551.5	1313595.0	1197593.0	1053432.0	900321.5	756882.5	623159.5	493953.0	381804.0	293005.0	224270.5	171120.0	128562.5	97221.0	72649.0	53270.5	39084.0	28488.5	21463.0	16993.0	12762.5	8524.5	6229.0	5267.0	4124.5	3302.5	2682.5	1989.5	1469.0	791.5	294.5	147.0	113.5	75.5	56.0	38.5	20.0	13.0	10.0	11.0	11.5	11.0	7.5	3.5	1.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ROT18_sortmerna_2	134.0	92.0	43.5	28.0	38.5	56.5	66.0	84.0	105.0	158.0	202.0	245.0	324.5	434.5	568.0	747.0	1009.0	1266.5	1662.0	2255.5	2997.0	4041.5	5640.5	7884.5	11250.0	16244.0	22989.0	32506.0	45227.0	62031.5	83436.0	113034.0	152140.5	202488.0	265937.5	347846.5	454804.5	584793.5	735479.0	902667.5	1074172.0	1235367.5	1373553.5	1466618.0	1514261.5	1512646.5	1464369.5	1380175.5	1246754.5	1085350.5	928915.5	777238.5	625754.5	488932.0	381294.0	295077.0	224666.5	169906.0	127716.0	95937.0	69690.5	50150.0	37197.5	27138.5	19423.0	14936.0	11244.5	7639.5	5309.5	3971.5	2841.5	2020.5	1488.0	1106.5	856.0	666.0	514.5	398.5	297.5	220.0	172.0	146.5	126.0	106.0	85.0	68.5	53.0	39.5	32.0	28.5	26.0	20.5	19.5	15.5	7.5	6.0	4.5	4.5	3.5	0.5	0.5
P_ROT18_sortmerna_trimmomatic_1	201.0	142.5	60.5	27.0	25.0	30.0	29.0	43.0	62.0	80.5	125.5	164.0	197.0	296.0	427.5	593.5	822.5	1173.0	1776.0	2385.5	3118.0	4400.0	6160.0	8994.5	13523.0	19700.0	29042.0	43723.5	63286.5	88842.0	121916.0	162151.5	210895.0	271241.5	341926.5	421293.0	515212.5	620186.0	739587.0	872537.5	1009129.0	1145051.5	1260605.0	1339369.0	1379232.5	1381311.5	1345876.0	1271423.0	1159604.0	1020452.5	872420.5	733579.0	604355.0	479184.0	369925.5	283421.0	216693.5	165302.5	124417.5	94175.5	70397.0	51488.5	37555.5	27210.5	20385.0	16089.5	12006.5	7944.5	5739.0	4856.5	3807.0	3030.0	2474.5	1835.0	1344.5	736.0	312.0	212.5	176.5	117.5	79.0	44.0	16.5	9.0	5.0	2.5	4.5	5.5	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ROT18_sortmerna_trimmomatic_2	112.0	67.0	21.0	12.0	18.5	36.0	45.5	60.5	83.0	128.5	172.0	191.0	233.0	318.0	431.0	597.5	812.0	1044.5	1439.0	1981.0	2632.0	3678.5	5175.5	7254.0	10504.0	15297.5	21826.5	31027.0	43196.5	59202.0	79585.0	107902.0	145290.5	193418.5	254548.5	333711.5	437367.5	563284.0	709308.5	871971.0	1038668.5	1195354.0	1330222.0	1421041.0	1467358.0	1466068.5	1419599.5	1338243.5	1208806.5	1052444.5	900909.0	753492.0	606530.5	473947.0	369432.0	285599.0	217302.0	164431.0	123591.0	92676.5	67309.0	48403.0	35789.0	25969.5	18390.5	13940.0	10340.0	6844.0	4597.5	3333.0	2275.5	1512.0	1018.5	688.0	489.0	337.5	199.5	104.5	56.5	32.5	24.0	15.0	11.0	14.0	11.5	5.5	2.0	1.5	3.5	3.0	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ROT19_1	346.0	335.0	282.0	202.5	174.5	160.5	141.5	152.0	172.0	195.5	225.0	249.0	300.5	421.0	547.0	713.0	907.0	1234.0	1917.0	2616.0	3431.0	4716.0	6578.0	9630.5	14170.5	20418.5	30128.0	44918.0	65068.5	91353.5	124148.0	164668.0	214577.0	277453.5	349846.5	429922.5	527187.0	637185.0	761759.0	900018.0	1043461.0	1186458.0	1307763.5	1389083.0	1428911.0	1432155.5	1398957.5	1322715.0	1204729.5	1058105.5	901658.5	755926.0	619206.0	488140.5	376608.0	289339.0	221707.0	168827.0	126856.5	95607.0	71424.0	52628.0	38983.0	28878.5	22071.5	17342.0	13194.0	9200.0	6799.5	5802.0	4509.0	3437.0	2831.0	2175.0	1577.0	884.5	437.5	263.0	194.5	156.0	129.0	104.0	88.0	71.0	55.5	49.0	42.5	32.0	25.0	18.0	9.0	7.5	7.0	4.5	5.5	7.0	8.0	12.5	37.5	36.5	7.5
